"site","species_code"
"BCI","JACO"
"BCI","TEPA"
"BCI","TRTU"
"CB","ABBI"
"CB","PIFL"
"CB","PILO"
"CB","PSME"
"HF","ACRU"
"HF","BEAL"
"HF","FAGR"
"HF","PIAB"
"HF","PIST"
"HF","QURU"
"HF","TSCA"
"HKK","AFXY"
"HKK","CHTA"
"HKK","MEAZ"
"HKK","TOCI"
"LDW","ACSA"
"LDW","CAOV"
"LDW","FRAM"
"LDW","LITU"
"LDW","QUAL"
"LDW","QUMO"
"LDW","QURU"
"LDW","QUVE"
"LT","PIPO"
"LT","PIST2"
"SC","PIMA"
"SCBI","CACO"
"SCBI","CAGL"
"SCBI","CAOVL"
"SCBI","CATO"
"SCBI","FAGR"
"SCBI","FRAM"
"SCBI","FRNI"
"SCBI","JUNI"
"SCBI","LITU"
"SCBI","PIST"
"SCBI","QUAL"
"SCBI","QUMO"
"SCBI","QURU"
"SCBI","QUVE"
"ZOF","ABAL"
"ZOF","FASY"
"ZOF","PCAB"
